,episodio,recompensa,distancia,pX,pY,pZ
483,484,55820,43.0,58.0,96.0,108.0
484,485,99790,32.0,71.0,96.0,112.0
485,486,2777777,6.0,105.0,96.0,100.0
486,487,55820,43.0,129.0,96.0,69.0
487,488,81632,35.0,67.0,96.0,111.0
488,489,43402,48.0,53.0,96.0,108.0
489,490,31148,57.0,43.0,96.0,103.0
490,491,137174,27.0,75.0,96.0,110.0
491,492,66914,39.0,127.0,96.0,72.0
492,493,45932,47.0,128.0,96.0,62.0
493,494,69252,38.0,63.0,96.0,109.0
494,495,80141,36.0,65.0,96.0,109.0
495,496,884297,11.0,93.0,96.0,107.0
496,497,57622,42.0,127.0,96.0,68.0
497,498,137174,27.0,75.0,96.0,110.0
498,499,5500000,5.0,100.0,96.0,103.0
499,500,200753,23.0,119.0,96.0,88.0
500,501,88279,34.0,122.0,96.0,75.0
501,502,2532123,7.0,97.0,96.0,105.0
502,503,308641,18.0,83.0,96.0,106.0
503,504,390625,16.0,87.0,96.0,109.0
504,505,3185185,6.0,104.0,96.0,101.0
505,506,1234567,9.0,94.0,96.0,106.0
506,507,66914,39.0,62.0,96.0,108.0
507,508,124669,29.0,72.0,96.0,106.0
508,509,36982,52.0,48.0,96.0,104.0
509,510,694444,12.0,91.0,96.0,107.0
510,511,1234567,9.0,94.0,96.0,106.0
511,512,91827,33.0,69.0,96.0,112.0
512,513,93770,33.0,125.0,96.0,79.0
513,514,308641,18.0,116.0,96.0,92.0
514,515,130758,28.0,123.0,96.0,84.0
515,516,2777777,6.0,104.0,96.0,101.0
516,517,66914,39.0,63.0,96.0,110.0
517,518,104058,31.0,70.0,96.0,107.0
518,519,250000,20.0,83.0,96.0,110.0
519,520,38476,52.0,49.0,96.0,106.0
520,521,58555,42.0,130.0,96.0,71.0
521,522,160000,25.0,120.0,96.0,86.0
522,523,183894,24.0,118.0,96.0,85.0
523,524,308641,18.0,116.0,96.0,92.0
524,525,69252,38.0,128.0,96.0,74.0
525,526,242252,21.0,82.0,96.0,109.0
526,527,127551,28.0,119.0,96.0,80.0
527,528,29393,59.0,41.0,96.0,103.0
528,529,826446,11.0,110.0,96.0,96.0
529,530,86505,34.0,68.0,96.0,112.0
530,531,234504,21.0,118.0,96.0,90.0
531,532,75789,37.0,124.0,96.0,72.0
532,533,140759,27.0,122.0,96.0,85.0
533,534,346020,17.0,85.0,96.0,108.0
534,535,189035,23.0,119.0,96.0,88.0
535,536,88279,34.0,67.0,96.0,109.0
536,537,73046,37.0,64.0,96.0,109.0
537,538,35599,53.0,130.0,96.0,56.0
538,539,4000000,5.0,99.0,96.0,103.0
539,540,70516,38.0,63.0,96.0,109.0
540,541,127877,29.0,74.0,96.0,111.0
541,542,104058,31.0,124.0,96.0,81.0
542,543,28094,60.0,40.0,96.0,97.0
543,544,27476,61.0,39.0,96.0,96.0
544,545,4000000,5.0,99.0,96.0,103.0
545,546,137174,27.0,120.0,96.0,82.0
546,547,375756,16.0,114.0,96.0,93.0
547,548,36521,53.0,130.0,96.0,56.0
548,549,226757,21.0,118.0,96.0,89.0
